"filename","textType","year","tokens","adverbials_raw","modals_raw","connectives_raw","argumentativeMarkers_raw","subjectiveNegative_raw","subjectivePositive_raw","subjectiveMarkers_raw","morphComplexity","synComplexity","overallComplexity","adverbials","modals","connectives","argumentativeMarkers","subjectiveNegative","subjectivePositive","subjectiveMarkers"
"comments2012.4105032.txt","comments",2012,4143,5,14,65,84,1,6,7,-0.957710669086145,0.935971769498058,-3.35623579556199,1.20685493603669,3.37919382090273,15.6891141684769,20.2751629254164,0.241370987207338,1.44822592324403,1.68959691045136
"comments2012.4527764.txt","comments",2012,10360,10,18,139,167,3,4,7,-0.959870267294498,0.940282206743125,-1.4862271838412,0.965250965250965,1.73745173745174,13.4169884169884,16.1196911196911,0.28957528957529,0.386100386100386,0.675675675675676
"comments2013.10030963.txt","comments",2013,168791,189,497,2568,3254,42,56,98,-0.960315583044157,0.94026498504067,-1.22732759498837,1.11972794758014,2.94446978808112,15.2140813195016,19.2782790551629,0.248828432795587,0.33177124372745,0.580599676523037
"comments2013.10050241.txt","comments",2013,7984,13,25,119,157,6,2,8,-0.959130831494062,0.938880267754404,-0.346913974177837,1.62825651302605,3.1312625250501,14.9048096192385,19.6643286573146,0.751503006012024,0.250501002004008,1.00200400801603
"comments2013.10090612.txt","comments",2013,18216,17,59,250,326,1,1,2,-0.959080465019013,0.940274716230382,-1.4327993584306,0.93324549846289,3.2389108476065,13.7241985068072,17.8963548528766,0.054896794027229,0.054896794027229,0.109793588054458
"comments2013.10099582.txt","comments",2013,41900,47,119,553,719,15,22,37,-0.957727327279669,0.938692192776298,-1.34988901724799,1.12171837708831,2.84009546539379,13.1980906921241,17.1599045346062,0.35799522673031,0.525059665871122,0.883054892601432
"comments2013.10108172.txt","comments",2013,36727,49,109,474,632,22,24,46,-0.961028796158812,0.941659903782547,-0.941256145399423,1.3341683230321,2.96784382062243,12.9060364309636,17.2080485746181,0.599014349116454,0.653470199036131,1.25248454815259
"comments2013.10157022.txt","comments",2013,15344,25,54,216,295,3,8,11,-0.959556322290792,0.939431465236519,-1.21521536446847,1.62930135557873,3.51929092805005,14.0771637122002,19.225755995829,0.195516162669447,0.521376433785193,0.71689259645464
"comments2013.10157546.txt","comments",2013,31089,48,57,446,551,15,8,23,-0.960517713292466,0.939569954820041,-2.17179273001438,1.54395445334363,1.83344591334556,14.3459101289845,17.7233104956737,0.482485766669883,0.257325742223938,0.739811508893821
"comments2013.10193881.txt","comments",2013,54242,57,149,796,1002,15,16,31,-0.961270635744747,0.941151158573403,-1.28796160306005,1.0508462077357,2.74694885881789,14.6749751115372,18.4727701780908,0.276538475719922,0.29497437410125,0.571512849821172
"comments2013.10199024.txt","comments",2013,52755,74,174,931,1179,8,63,71,-0.959238474736564,0.941375777975737,-1.04476782971357,1.4027106435409,3.29826556724481,17.6476163396834,22.3485925504691,0.151644393896313,1.19419960193347,1.34584399582978
"comments2013.10218956.txt","comments",2013,39938,35,98,554,687,8,29,37,-0.956890248420006,0.937800633223143,-1.03336062381127,0.876358355450949,2.45380339526266,13.8715008262807,17.2016625769943,0.200310481245931,0.726125494516501,0.926435975762432
"comments2013.10243048.txt","comments",2013,23673,22,49,342,413,47,15,62,-0.959166896750956,0.94233686348342,-0.347268818336952,0.929328771173911,2.06986862670553,14.4468381700672,17.4460355679466,1.98538419296245,0.633633253073121,2.61901744603557
"comments2013.10251782.txt","comments",2013,39914,47,109,582,738,10,19,29,-0.958599103370743,0.939597381748086,-0.745828765553145,1.17753169314025,2.73087137345292,14.5813499022899,18.4897529688831,0.250538658114947,0.4760234504184,0.726562108533347
"comments2013.10254960.txt","comments",2013,11234,10,52,179,241,6,2,8,-0.958451588563448,0.940046725970552,-0.724741768127202,0.890154886950329,4.62880541214171,15.9337724764109,21.4527327755029,0.534092932170198,0.178030977390066,0.712123909560264
"comments2013.10273431.txt","comments",2013,14834,13,35,194,242,6,7,13,-0.959484098098913,0.93831725427119,-1.52872879999018,0.876365107186194,2.35944451934744,13.0780639072401,16.3138735337738,0.404476203316705,0.471888903869489,0.876365107186194
"comments2013.10316862.txt","comments",2013,29161,31,84,416,531,7,7,14,-0.958891277965942,0.937272205096945,-1.89379392889366,1.06306368094373,2.88055965158945,14.2656287507287,18.2092520832619,0.240046637632454,0.240046637632454,0.480093275264909
"comments2013.10329099.txt","comments",2013,7889,13,17,102,132,2,2,4,-0.960798098606061,0.940271935333433,-1.55702435926744,1.64786411458994,2.15489922677145,12.9293953606287,16.7321587019901,0.253517556090759,0.253517556090759,0.507035112181519
"comments2013.10374471.txt","comments",2013,26919,29,93,332,454,7,12,19,-0.963420263557375,0.941737178838108,-3.2214210639516,1.07730599205022,3.45480887105762,12.3332961848508,16.8654110479587,0.260039377391434,0.445781789813886,0.70582116720532
"comments2013.10449504.txt","comments",2013,27943,29,112,385,526,6,13,19,-0.957867455246248,0.939691665743743,-0.067984883969761,1.03782700497441,4.00815946748739,13.7780481694879,18.8240346419497,0.214722828615396,0.465232795333357,0.679955623948753
"comments2013.10449569.txt","comments",2013,21273,25,56,297,378,2,8,10,-0.958971655358275,0.94034198746819,-1.01385855559381,1.17519860856485,2.63244488318526,13.9613594697504,17.7690029615005,0.094015888685188,0.376063554740751,0.470079443425939
"comments2013.10467176.txt","comments",2013,5226,5,22,62,89,2,2,4,-0.959556417946508,0.940407808517692,-0.61553679688661,0.956754688097972,4.20972062763108,11.8637581324148,17.0302334481439,0.382701875239189,0.382701875239189,0.765403750478377
