"","x"
"year",0.00113207236480025
"morphComplexity",0.0323780958664426
"synComplexity",0.0136551352375485
"overallComplexity",0.857987505515379
"subjectiveNegative",0.00827652739948368
"subjectivePositive",0.00223892265407859
"modals",0.00679841601656888
"connectives",0.0140881743093061
"adverbials",0.034714518931909
